<<<<<<< HEAD
crew_id,name,role,base,qualified_types,weekly_max_duty_hrs,leave_status,sccm_certified,experience_months
CPT001,Capt. Diya Bhatt,Captain,BOM,A320|A350|B777,80,Available,False,90
CPT002,Capt. Rajesh Reddy,Captain,BLR,B737|A320|ATR72|B777|A350,85,Available,False,147
CPT003,Capt. Rajesh Pandey,Captain,MAA,A350|B737|ATR72|A320,75,Available,False,84
CPT004,Capt. Geeta Malhotra,Captain,DEL,B737|A350|A320,80,Available,False,218
CPT005,Capt. Suresh Iyer,Captain,DEL,A321|A350|A320|B737,85,Available,False,216
CPT006,Capt. Anaya Tiwari,Captain,DEL,A320|A321|A350|ATR72,85,Available,False,87
CPT007,Capt. Riya Saxena,Captain,MAA,A320|B777|A350|B737,75,Available,False,225
CPT008,Capt. Kira Rao,Captain,HYD,A320|B777|A321,80,Available,False,170
CPT009,Capt. Kiara Saxena,Captain,BOM,A320|B777|A321|A350,85,Available,False,177
CPT010,Capt. Rita Tiwari,Captain,HYD,A320|A321|A350|B737|ATR72,80,Available,False,132
CPT011,Capt. Suresh Gupta,Captain,HYD,B777|ATR72|B737,80,Available,False,196
CPT012,Capt. Suresh Agarwal,Captain,HYD,B737|B777|A320|A350,75,Available,False,158
CPT013,Capt. Aarav Jain,Captain,BLR,B737|B777|A350|ATR72|A321,80,Available,False,161
CPT014,Capt. Arnav Singh,Captain,HYD,B737|A350|A321,85,Available,False,85
CPT015,Capt. Sunita Saxena,Captain,CCU,A350|A321|B777|A320|B737,85,Available,False,190
CPT016,Capt. Reyansh Rao,Captain,HYD,B737|ATR72|B777|A321,80,Available,False,155
CPT017,Capt. Kira Saxena,Captain,CCU,A321|ATR72|A350|A320|B737,75,Training,False,70
CPT018,Capt. Vihaan Shukla,Captain,MAA,A321|ATR72|A350|A320|B737,80,Available,False,106
CPT019,Capt. Aarush Tiwari,Captain,CCU,B737|A320|A321|A350,75,Available,False,79
CPT020,Capt. Kira Shah,Captain,MAA,A321|B737|B777|ATR72|A350,75,Available,False,191
CPT021,Capt. Kiara Pandey,Captain,BLR,B777|A320|ATR72,75,Available,False,223
CPT022,Capt. Tara Rao,Captain,MAA,A320|A350|B737|A321,85,Available,False,222
CPT023,Capt. Arjun Joshi,Captain,CCU,A320|ATR72|B777|A321,85,Available,False,105
CPT024,Capt. Nita Joshi,Captain,BLR,A320|A350|A321,85,Available,False,116
CPT025,Capt. Ramesh Shah,Captain,BOM,ATR72|A320|A350|B737,75,Available,False,217
CPT026,Capt. Suresh Sharma,Captain,HYD,B737|A321|A320,75,Available,False,120
CPT027,Capt. Aisha Bansal,Captain,HYD,A350|A321|ATR72|B777,75,Available,False,86
CPT028,Capt. Kiara Desai,Captain,DEL,A320|ATR72|B737|A350|A321,85,Available,False,89
CPT029,Capt. Mahesh Patel,Captain,CCU,A320|A321|B737,80,Available,False,67
CPT030,Capt. Dinesh Shah,Captain,DEL,A350|A321|ATR72|A320,85,Available,False,232
CPT031,Capt. Vihaan Singh,Captain,MAA,A320|A350|ATR72|B737|B777,85,Available,False,91
CPT032,Capt. Rajesh Tiwari,Captain,BOM,A321|ATR72|A350,75,Available,False,78
CPT033,Capt. Arnav Patel,Captain,BLR,B737|ATR72|A350|A320,80,Available,False,196
CPT034,Capt. Nisha Joshi,Captain,HYD,B737|A350|A321|ATR72,75,Available,False,202
CPT035,Capt. Naresh Menon,Captain,BOM,A321|B737|ATR72,80,Available,False,73
CPT036,Capt. Arjun Rao,Captain,MAA,A350|B777|A321,85,Available,False,146
