crew_id,name,role,base,qualified_types,weekly_max_duty_hrs,leave_status,sccm_certified,experience_months
CPT001,Capt. Aarav Sharma,Captain,DEL,"A320,A321,B737",80,Available,false,0
CPT002,Capt. Vihaan Patel,Captain,BOM,"A320,A321,B737",80,Available,false,0
CPT003,Capt. Arjun Singh,Captain,BLR,"A320,A321,B737",80,Available,false,0
CPT004,Capt. Rohan Kumar,Captain,MAA,"A320,A321,B737",80,Available,false,0
CPT005,Capt. Ishaan Gupta,Captain,CCU,"A320,A321,B737",80,Available,false,0
CPT006,Capt. Advait Joshi,Captain,HYD,"A320,A321,B737",80,Available,false,0
CPT007,Capt. Aarush Verma,Captain,DEL,"A320,A321,B737,B777",80,Available,false,0
CPT008,Capt. Reyansh Reddy,Captain,BOM,"A320,A321,B737,B777",80,Available,false,0
CPT009,Capt. Vivaan Iyer,Captain,BLR,"A320,A321,B737,B777",80,Available,false,0
CPT010,Capt. Atharv Nair,Captain,MAA,"A320,A321,B737,B777",80,Available,false,0
CPT011,Capt. Arnav Rao,Captain,CCU,"A320,A321,B737,B777",80,Available,false,0
CPT012,Capt. Kabir Malhotra,Captain,HYD,"A320,A321,B737,B777",80,Available,false,0
CPT013,Capt. Anaya Choudhury,Captain,DEL,"A320,A321,B737,B777,A350",80,Available,false,0
CPT014,Capt. Zara Khan,Captain,BOM,"A320,A321,B737,B777,A350",80,Available,false,0
CPT015,Capt. Aisha Kapoor,Captain,BLR,"A320,A321,B737,B777,A350",80,Available,false,0
CPT016,Capt. Meera Shah,Captain,MAA,"A320,A321,B737,B777,A350",80,Available,false,0
CPT017,Capt. Priya Desai,Captain,CCU,"A320,A321,B737,B777,A350",80,Available,false,0
CPT018,Capt. Nisha Jain,Captain,HYD,"A320,A321,B737,B777,A350",80,Available,false,0
CPT019,Capt. Kavya Menon,Captain,DEL,"A320,A321,B737,B777,A350",80,Available,false,0
CPT020,Capt. Riya Bansal,Captain,BOM,"A320,A321,B737,B777,A350",80,Available,false,0
FO001,FO. Arjun Sharma,First Officer,DEL,"A320,A321,B737",80,Available,false,0
FO002,FO. Rohan Patel,First Officer,BOM,"A320,A321,B737",80,Available,false,0
FO003,FO. Vihaan Singh,First Officer,BLR,"A320,A321,B737",80,Available,false,0
FO004,FO. Ishaan Kumar,First Officer,MAA,"A320,A321,B737",80,Available,false,0
FO005,FO. Aarav Gupta,First Officer,CCU,"A320,A321,B737",80,Available,false,0
FO006,FO. Advait Joshi,First Officer,HYD,"A320,A321,B737",80,Available,false,0
FO007,FO. Aarush Verma,First Officer,DEL,"A320,A321,B737,B777",80,Available,false,0
FO008,FO. Reyansh Reddy,First Officer,BOM,"A320,A321,B737,B777",80,Available,false,0
FO009,FO. Vivaan Iyer,First Officer,BLR,"A320,A321,B737,B777",80,Available,false,0
FO010,FO. Atharv Nair,First Officer,MAA,"A320,A321,B737,B777",80,Available,false,0
FO011,FO. Arnav Rao,First Officer,CCU,"A320,A321,B737,B777",80,Available,false,0
FO012,FO. Kabir Malhotra,First Officer,HYD,"A320,A321,B737,B777",80,Available,false,0
FO013,FO. Anaya Choudhury,First Officer,DEL,"A320,A321,B737,B777,A350",80,Available,false,0
FO014,FO. Zara Khan,First Officer,BOM,"A320,A321,B737,B777,A350",80,Available,false,0
FO015,FO. Aisha Kapoor,First Officer,BLR,"A320,A321,B737,B777,A350",80,Available,false,0
FO016,FO. Meera Shah,First Officer,MAA,"A320,A321,B737,B777,A350",80,Available,false,0
FO017,FO. Priya Desai,First Officer,CCU,"A320,A321,B737,B777,A350",80,Available,false,0
FO018,FO. Nisha Jain,First Officer,HYD,"A320,A321,B737,B777,A350",80,Available,false,0
FO019,FO. Kavya Menon,First Officer,DEL,"A320,A321,B737,B777,A350",80,Available,false,0
FO020,FO. Riya Bansal,First Officer,BOM,"A320,A321,B737,B777,A350",80,Available,false,0
CC001,CC. Aarav Sharma,Cabin Crew,DEL,"A320,A321,B737,B777,A350",80,Available,true,24
CC002,CC. Vihaan Patel,Cabin Crew,BOM,"A320,A321,B737,B777,A350",80,Available,false,6
CC003,CC. Arjun Singh,Cabin Crew,BLR,"A320,A321,B737,B777,A350",80,Available,true,24
CC004,CC. Rohan Kumar,Cabin Crew,MAA,"A320,A321,B737,B777,A350",80,Available,false,6
CC005,CC. Ishaan Gupta,Cabin Crew,CCU,"A320,A321,B737,B777,A350",80,Available,true,24
CC006,CC. Advait Joshi,Cabin Crew,HYD,"A320,A321,B737,B777,A350",80,Available,false,6
CC007,CC. Aarush Verma,Cabin Crew,DEL,"A320,A321,B737,B777,A350",80,Available,true,24
CC008,CC. Reyansh Reddy,Cabin Crew,BOM,"A320,A321,B737,B777,A350",80,Available,false,6
CC009,CC. Vivaan Iyer,Cabin Crew,BLR,"A320,A321,B737,B777,A350",80,Available,true,24
CC010,CC. Atharv Nair,Cabin Crew,MAA,"A320,A321,B737,B777,A350",80,Available,false,6
CC011,CC. Arnav Rao,Cabin Crew,CCU,"A320,A321,B737,B777,A350",80,Available,true,24
CC012,CC. Kabir Malhotra,Cabin Crew,HYD,"A320,A321,B737,B777,A350",80,Available,false,6
CC013,CC. Anaya Choudhury,Cabin Crew,DEL,"A320,A321,B737,B777,A350",80,Available,true,24
